FID,Shape *,kml_addres,kml_id,Latitude,Longitud,OfficeName,Country
54,Point ZM,"Via Enrico Albareto, 31, 16154 Genova GE, Italy",kml_55,8.854741,44.421472,Genova,ITL
55,Point ZM,"Wheatfield Way, Hinckley LE10 1YG, UK",kml_56,-1.378341,52.555957,Hinckley,GBR
56,Point ZM,"1585 Sawdust Rd # 175, The Woodlands, TX 77380",kml_57,-95.467354,30.122916,Houston,USA
57,Point ZM,"111 S Wood Ave, Iselin, NJ 08830",kml_58,-74.324837,40.563408,Iselin,USA
58,Point ZM,"World Trade Centre 3 - Level 29, Jl. Jend. Sudirman, RT.8/RW.3, Kuningan, Karet, Jakarta, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",kml_59,106.820985,-6.214669,Jakarta,IDN
59,Point ZM,"Alice Lane - Building 1, Fredman Dr, Sandhurst, Sandton, 2196, South Africa",kml_60,28.050173,-26.106548,Johannesburg,ZAF
60,Point ZM,"Level 6, Tower, 11, Avenue 5, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",kml_61,101.668099,3.111597,Kuala Lumpur,MYS
61,Point ZM,"152 Beach Road, #35-00, The Gateway East, Beach Rd, Singapore 189721",kml_62,103.859401,1.298874,Singapore,SGP
62,Point ZM,"Al Jazeera 1st Floor, 40 Khalid Ibn Al Waleed St, Al Kuwayt, Kuwait",kml_63,47.989196,29.375264,Kuwait,KWT
63,Point ZM,"6GPQ+G6Q, Seef, Bahrain",kml_64,50.538104,26.236336,Seef,BHR
64,Point ZM,"1000 Wilshire Blvd UNIT 400, Los Angeles, CA 90017",kml_65,-118.261016,34.050681,Los Angeles,USA
65,Point ZM,"165 S Union Blvd Ste 200, Lakewood, CO 80228",kml_66,-105.134575,39.712936,Lakewood,USA
66,Point ZM,"Floor 3, 1, Whitehall, Riverside Way, Leeds LS1 4BN, UK",kml_67,-1.553991,53.794793,Leeds,GBR
67,Point ZM,"Bank house, 27 King St, Leeds LS1 2HL, UK",kml_68,-1.550743,53.797144,Leeds - Bank House,GBR
68,Point ZM,"Greenhead, Lerwick, Shetland ZE1 0PY, UK",kml_69,-1.167398,60.181342,Lerwick,GBR
69,Point ZM,"P.º de la Castellana, 79, Planta 7, 28046 Madrid, Spain",kml_70,-3.691971,40.447494,Madrid,ESP
70,Point ZM,"Fourth floor, 9 Portland St, Manchester M1 3BE, UK",kml_71,-2.235702,53.480121,Manchester,GBR
71,Point ZM,"Winchester Building, South Avenue, Road, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076, India",kml_72,72.912737,19.11228,Mumbai,IND
72,Point ZM,"4203 Way, Muscat, Oman",kml_73,58.554062,23.595045,Muscat,OMN
73,Point ZM,"1400 Broadway 21st Floor, New York, NY 10018",kml_74,-73.98669,40.752877,New York City,USA
74,Point ZM,"6th Floor, Time central, 32 Gallowgate, Newcastle upon Tyne NE1 4SN, UK",kml_75,-1.618875,54.974267,Newcastle,GBR
75,Point ZM,"Spooner Cl, Coedkernew, Marshfield, Newport NP10 8FZ, UK",kml_76,-3.044652,51.557316,Newport - Ty Awen,GBR
76,Point ZM,"2, 69-75 Thorpe Rd, Norwich NR1 1UA, UK",kml_77,1.319206,52.624801,Norwich,GBR
77,Point ZM, ,kml_78,-0.24053,52.569499,Peterborough,GBR
78,Point ZM,"One Valpy, 20 Valpy St, Reading RG1 1AR, UK",kml_79,-0.968922,51.457199,Reading,GBR
79,Point ZM,"5295 Commerce Dr, Murray, UT 84107",kml_80,-111.89967,40.655373,Salt Lake City,USA
80,Point ZM,"12647 Alcosta Blvd, San Ramon, CA 94583",kml_81,-121.959573,37.772804,San Ramon,USA
81,Point ZM,"5 Spectrum Business Park, Seaham SR7 7PS, UK",kml_82,-1.328535,54.825523,Seaham,GBR
82,Point ZM,"4th Floor, Derwent House, 150 Arundel Gate, Sheffield City Centre, Sheffield S1 2JY, UK",kml_83,-1.469767,53.377993,Sheffield,GBR
83,Point ZM,"Lamledge Lane, Shifnal TF11 8SD, UK",kml_84,-2.360992,52.664718,Shifnal,GBR
84,Point ZM,"Keighley Rd, Skipton BD23 2QR, UK",kml_85,-2.015294,53.94748,Skipton,GBR
85,Point ZM,"ul. ""Nikolay V. Gogol"" 9, ??. 2, 1124 g.k. Yavorov, Sofia, Bulgaria",kml_86,23.34167,42.68915,Sofia,BGR
86,Point ZM,"800 Westchester Ave suite n-641, Rye Brook, NY",kml_87,-73.690305,41.006399,Tarrytown,USA
87,Point ZM,"4th Floor, ???-?-13 ????? ??? ??? 103-0023, Japan",kml_88,139.777572,35.685172,Tokio,JPN
88,Point ZM,"145 Wellington St W Suite 400, Toronto, ON M5J 1H8, Canada",kml_89,-79.385012,43.646007,Toronto,CAN
89,Point ZM,"134 Capital Dr suite d, West Springfield, MA 01089",kml_90,-72.619682,42.136763,West Springfield,USA
90,Point ZM,"Heritage Court, Lower Bridge St, Chester CH1 1RD, UK",kml_91,-2.890713,53.187699,Chester,GBR
91,Point ZM,"Bentall 5, 550 Burrard St #1888, Vancouver, BC V6C 2B5, Canada",kml_92,-123.118222,49.285814,Vancouver,CAN
92,Point ZM,"Saviour House, 9 St Saviourgate, York YO1 8NQ, UK",kml_93,-1.078437,53.959658,York,GBR
93,Point ZM, ,kml_94,-2.992494,53.04304,Wrexham,GBR
94,Point ZM,"33 Av. de la République, 75011 Paris, France",kml_95,2.373145,48.86575,Paris,FRA
95,Point ZM,"Av. Treze de Maio, 13 - Centro, Rio de Janeiro - RJ, 20031-007, Brazil",kml_96,-43.177024,-22.90949,Rio de Janeiro,BRA
